Commodity,Crop Type - Season,Crop - Category,MSP
ambat chuka,Not Known,Vegetables,
apple,Kharif Crops,Fruit,
arvi,Kharif Crops,Vegetables,
bajri,Kharif Crops,Cereals,TRUE
banana,Other Crops,Fruit,
batbati,Other Crops,Vegetables,
bedana,Not Known,Fruit,
beet root,Kharif Crops,,
betelnuts,Other Crops,,
bitter gourd,Kharif Crops,,
black gram,Kharif Crops,,
bottle gourd,Kharif Crops,,
brinjal,Kharif Crops,,
cabbage,Rabi Crops,,
capsicum,Other Crops,Vegetables,
cardamom,Other Crops,,
carrot,Kharif Crops,Vegetables,
cashewnuts,Other Crops,Fruit,
chavli (pala),Other Crops,,
chavli (shenga ),Other Crops,,
chikoo,Other Crops,,
chillies(red),Other Crops,Vegetables,
cluster bean,Other Crops,Vegetables,
coconut,Kharif Crops,,TRUE
coriander  ,Rabi Crops,,
coriander (dry),Rabi Crops,,
cotton,Kharif Crops,,TRUE
cowpea,Kharif Crops,,
cucumber,Kharif Crops,,
cummin,Rabi Crops,,
curry leaves,Rabi Crops,,
dhemse,Other Crops,,
elephant root,Rabi Crops,,
fennel,Rabi Crops,,
fig,Kharif Crops,,
flower,Rabi Crops,,
fodder,Kharif Crops,,
garlic,Rabi Crops,,
ghevda,Not Known,,
ghevda seed,Not Known,,
ghosali(bhaji),Kharif Crops,,
ginger (dry),Kharif Crops,,
ginger (fresh),Kharif Crops,,
goosefoot,Not Known,,
gr.nut kernels,Kharif Crops,,TRUE
gram,Rabi Crops,,
grapes,Rabi Crops,,
green chilli,Kharif Crops,,
green gram,Kharif Crops,,
green peas (dry),Rabi Crops,,
green-peas,Rabi Crops,,
ground nut pods (dry),Kharif Crops,,
guava,Kharif Crops,Fruits,
hemp,Not Known,,
horse gram,Not Known,,
indian bean,Not Known,,
jaggery,Other Crops,,
kanda pat,Not Known,,
safflower,Rabi Crops,,
ladies finger,Other Crops,,
lang,Not Known,,
lemon,Kharif Crops,,
lentil,Not Known,,
linseed,Not Known,,
maize,Kharif Crops,,TRUE
mango(raw),Other Crops,,
math (bhaji),Not Known,,
matki,Other Crops,,
methi (bhaji),Other Crops,,
mint,Rabi Crops,,
mosambi,Other Crops,,
mustard,Rabi Crops,,TRUE
ragi,Kharif Crops,,TRUE
nagali,Kharif Crops,,
onion,Rabi Crops,,
orange,Other Crops,,
other cereals,Other Crops,,
other pulses,Other Crops,,
other vegetables,Other Crops,,
paddy-unhusked,Kharif Crops,,TRUE
papai,Kharif Crops,,
parwar,Not Known,,
pavata,Not Known,,
pavtta,Not Known,,
pigeon pea (tur),Kharif Crops,,TRUE
pineapple,Kharif Crops,,
pomegranate,Kharif Crops,,
potato,Rabi Crops,,
pumpkin,Kharif Crops,,
raddish,Rabi Crops,,
rajgira,Not Known,,
rice(paddy-hus),Kharif Crops,,TRUE
ridge gourd,Kharif Crops,,
safflower,Rabi Crops,,TRUE
,,,
sesamum,Kharif Crops,,TRUE
shepu,Not Known,,
shevga,Other Crops,,
small gourd,Kharif Crops,,
snake gourd,Kharif Crops,,
sorgum(jawar),Kharif Crops,,TRUE
soybean,Kharif Crops,,
spilt gerrn gram,Rabi Crops,,
spilt pigeon pea,Kharif Crops,,
spinach,Kharif Crops,,
split black gram,Kharif Crops,,
split gram,Rabi Crops,,
split lentil,Rabi Crops,,
squash gourd,Not Known,,
sugar,Kharif Crops,,
sunflower,Kharif Crops,,TRUE
sweet potato,Kharif Crops,,
tamarind,Kharif Crops,,
thymol/lovage,Not Known,,
tomato,Rabi Crops,,
turmeric,Turmeric,,
wal bhaji,Not Known,,
wal papdi,Not Known,,
walvad,Not Known,,
water melon,Not Known,,
wheat(husked),Rabi Crops,,TRUE
wheat(unhusked),Rabi Crops,,TRUE
